Value,Name,VariableDescription,Date
"1,714","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,709","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,706","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,698","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,689","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,676","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,668","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,665","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,662","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,663","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,652","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,643","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,639","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,641","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,648","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,648","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,649","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,659","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,673","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,674","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,674","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,678","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,675","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/24/21
"1,680","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,679","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,677","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,673","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,677","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,669","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,666","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,668","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,661","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,665","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,666","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,670","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,673","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,680","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,676","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,673","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,663","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,648","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/25/21
"1,639","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,635","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,631","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,633","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,638","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,631","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,623","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,616","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
"1,618","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/26/21
